0,1,2,3,4,5
Lithuania,440,296,13.7,20.7,1.3
Luxembourg,442,22,4.4,6.9,0.41
Madagascar,450,4 060,41.8,27.8,4.4
Malawi,454,4 701,70.9,46.0,7.2
Malaysia,458,1 913,10.3,11.9,1.0
Maldives,462,51,22.6,25.1,2.3
Mali,466,2 436,43.1,22.8,4.7
Malta,470,13,4.2,5.9,0.44
"France, Martinique",474,29,7.5,14.3,0.83
Mauritania,478,468,28.3,19.2,3.1
Mauritius,480,136,12.9,21.0,1.3
Mexico,484,10 348,13.2,15.4,1.4
Mongolia,496,361,20.2,21.0,2.1
Moldova,498,420,14.2,20.1,1.4
Montenegro,499,58,12.0,18.3,1.3
Morocco,504,2 644,12.0,13.9,1.4
Mozambique,508,5 456,47.8,32.1,4.7
Oman,512,90,6.4,4.9,0.73
Namibia,516,350,33.5,25.8,3.5
Nepal,524,2 169,14.2,13.4,1.5
The Netherlands,528,756,6.7,8.8,0.61
New Caledonia,540,27,14.2,18.6,1.3
Vanuatu,548,23,18.2,14.5,1.8
New Zealand,554,149,4.9,6.0,0.44
Nicaragua,558,721,20.6,21.0,2.2
Niger,562,624,9.3,4.8,0.97
Nigeria,566,13 676,26.2,12.8,2.9
Norway,578,376,10.9,13.8,0.99
Pakistan,586,4 762,5.4,4.3,0.60
Panama,591,371,14.5,16.7,1.4
Papua New Guinea,598,1 053,27.8,23.2,2.7
Paraguay,600,1 115,30.6,31.0,3.0
Peru,604,4 809,23.9,28.4,2.5
Philippines,608,8 549,15.5,15.3,1.7
Poland,616,4 008,11.3,20.6,1.2
Portugal,620,897,11.1,16.8,1.0
Guinea-Bissau,624,224,34.3,21.3,3.7
Timor-Leste,626,77,14.8,11.4,1.5
Puerto Rico,630,212,10.6,14.2,1.0
Qatar,634,25,4.7,3.3,0.49
"France, La Réunion",638,75,11.0,16.0,1.2
Romania,642,3 368,21.7,34.4,2.3
Russian Federation,643,18 369,17.6,23.5,1.7
Rwanda,646,866,18.9,12.5,2.1
Saint Lucia,662,20,15.7,21.3,2.0
Sao Tome and Principe,678,14,18.8,12.3,2.1
Saudi Arabia,682,332,2.4,2.2,0.26
Senegal,686,2 064,34.3,22.9,3.6
Serbia,688,906,13.4,20.5,1.4
Sierra Leone,694,486,16.5,11.7,1.7
Singapore,702,353,7.4,12.5,0.78
Slovakia,703,557,12.9,19.9,1.3
Viet Nam,704,4 612,7.1,9.3,0.80
Slovenia,705,119,7.2,11.4,0.72
Somalia,706,1 167,26.6,13.8,3.0
South Africa,710,10 532,33.2,34.1,3.5
Zimbabwe,716,3 520,68.2,44.0,7.4
Spain,724,2 020,5.4,8.5,0.55
South Sudan,728,749,21.4,12.9,2.4
Sudan,729,1 234,8.6,5.4,1.0
Suriname,740,81,24.2,27.3,2.6
Eswatini,748,417,95.9,69.4,9.6
Sweden,752,561,8.6,11.0,0.77
Switzerland,756,269,4.1,6.1,0.40
Syrian Arab Republic,760,206,2.5,2.1,0.30
Tajikistan,762,277,6.6,5.6,0.66
Thailand,764,8 662,14.9,24.1,1.6
Togo,768,511,19.1,11.7,2.2
Trinidad and Tobago,780,192,18.3,26.9,1.9
United Arab Emirates,784,138,5.7,4.4,0.65
Tunisia,788,414,5.3,6.8,0.59
Türkiye,792,2 593,4.8,6.0,0.51
Turkmenistan,795,451,14.1,14.3,1.5
Uganda,800,6 938,53.8,28.3,5.7
Ukraine,804,5 163,15.2,22.3,1.5
North Macedonia,807,107,6.7,10.3,0.73
Egypt,818,1 302,2.8,2.5,0.31
United Kingdom,826,3 235,7.5,9.3,0.66
"Tanzania, United Republic of",834,10 868,64.8,34.3,7.1
United States of America,840,13 920,6.3,8.2,0.61
Burkina Faso,854,988,15.9,8.9,2.0
Uruguay,858,377,15.9,20.9,1.6
Uzbekistan,860,2 654,14.8,15.4,1.6
Venezuela,862,3 965,22.7,26.7,2.3
Samoa,882,11,13.3,11.3,1.3
Yemen,887,212,2.1,1.4,0.26
Zambia,894,3 640,71.5,37.0,7.7
Total,,662 044,14.1,16.9,1.5
